SalePrice,LotFrontage,LotArea,OverallQual,MasVnrArea,YearBuilt,BsmtUnfSF,YearRemodAdd,TotalBsmtSF,BsmtFinSF1,1stFlrSF
0.241077628,0.150684932,0.033419804,0.666666667,0.1225,0.949275362,0.064212329,0.883333333,0.1400982,0.12508859,0.119779715
0.203582836,0.202054795,0.038795017,0.555555556,0,0.753623188,0.121575342,0.433333333,0.206546645,0.173281361,0.212941716
0.261908068,0.160958904,0.04650728,0.666666667,0.10125,0.934782609,0.185787671,0.866666667,0.150572831,0.086109142,0.134465351
0.145951951,0.133561644,0.038561312,0.666666667,0,0.311594203,0.231164384,0.333333333,0.123731588,0.03827073,0.143873336
0.298708513,0.215753425,0.060576316,0.777777778,0.21875,0.927536232,0.209760274,0.833333333,0.187397709,0.116052445,0.186094539
0.150118039,0.219178082,0.059898572,0.444444444,0,0.876811594,0.02739726,0.75,0.130278232,0.129695252,0.106011932
0.377864186,0.184931507,0.041057281,0.777777778,0.11625,0.956521739,0.135702055,0.916666667,0.27594108,0.242558469,0.312069757
0.131926121,0.102739726,0.022529155,0.666666667,0,0.427536232,0.407534247,0,0.155810147,0,0.157870583
0.115400639,0.099315068,0.028605483,0.444444444,0,0.485507246,0.059931507,0,0.162193126,0.150779589,0.170491051
0.131370643,0.167808219,0.046273575,0.444444444,0,0.673913043,0.057363014,0.25,0.170212766,0.160524451,0.162000918
0.430634634,0.219178082,0.049657622,0.888888889,0.17875,0.963768116,0.075770548,0.933333333,0.192307692,0.176824947,0.194584672
0.339675045,0.239726027,0.043712169,0.666666667,0.19125,0.971014493,0.639554795,0.95,0.244517185,0,0.266177145
0.134842383,0.102739726,0.022529155,0.666666667,0,0.413043478,0.356164384,0.85,0.136170213,0,0.119320789
0.07651715,0.174657534,0.044361869,0.333333333,0,0.688405797,0,0.283333333,0,0,0.22074346
0.172337175,0.154109589,0.057935451,0.444444444,0,0.956521739,0.200342466,0.9,0.182324059,0.114457831,0.178981184
0.144563255,0.167808219,0.029259857,0.444444444,0,0.623188406,0.224743151,0.25,0.168412439,0.08929837,0.230610372
0.403277323,0.273972603,0.060365982,0.777777778,0.2375,0.963768116,0.495719178,0.933333333,0.189525368,0,0.189077559
0.145118734,0.123287671,0.028741032,0.666666667,0,0.420289855,0.272688356,0,0.104255319,0,0.177604406
0.270934592,0.184931507,0.039458739,0.777777778,0.175625,0.942028986,0.760702055,0.866666667,0.290834697,0,0.335245525
0.131926121,0.078767123,0.013667064,0.444444444,0,0.753623188,0.085616438,0.433333333,0.170212766,0.148830617,0.166590179
0.307457298,0.304794521,0.060436093,0.777777778,0.4,0.97826087,0.670376712,0.95,0.256301146,0,0.290500229
0.138730732,0.133561644,0.027577181,0.444444444,0,0.572463768,0.077054795,0.833333333,0.147299509,0.041459957,0.12987609
0.37647549,0.26369863,0.047572974,0.777777778,0.125,0.97826087,0.208047945,0.966666667,0.27888707,0.215804394,0.314364387
0.239688932,0.089041096,0.070209633,0.444444444,0,0.615942029,0.088613014,0.783333333,0.242880524,0.226257973,0.290500229
0.046660186,0.133561644,0.023482671,0.333333333,0,0.398550725,0.22260274,0,0.085106383,0,0.042680128
0.00708235,0.099315068,0.033653509,0.333333333,0,0.347826087,0.277825342,0,0.106219313,0,0.072280863
0.201360922,0.219178082,0.045567786,0.777777778,0,0.97826087,0.528253425,0.95,0.201963993,0,0.206516751
0.181363699,0.167808219,0.043244759,0.444444444,0,0.630434783,0.162671233,0.15,0.228805237,0.180368533,0.313446535
0.336897653,0.133561644,0.028105354,0.888888889,0.15375,0.963768116,0.174657534,0.916666667,0.255482815,0.204287739,0.28155117
0.380641578,0.297945205,0.056640725,0.777777778,0.0825,0.956521739,0.478167808,0.916666667,0.182815057,0,0.183111519
0.152895431,0.311643836,0.044679707,0.444444444,0,0.884057971,0.469606164,0.75,0.179541735,0,0.175080312
0.164004999,0.181506849,0.03380308,0.444444444,0.40625,0.594202899,0.035958904,0.666666667,0.212274959,0.214918498,0.220972923
0.102902375,0.160958904,0.03095188,0.444444444,0,0.586956522,0.139554795,0.95,0.17299509,0.129518072,0.16590179
0.065407582,0.150684932,0.022155227,0.333333333,0,0.601449275,0,0.083333333,0,0,0.18770078
